285;19/01/2023;4;100;;;;;;;;;
4;18/01/2023;651;;;;4.7;;;;;;
4;20/01/2023;651;;;;4.7;;;;;;
4;19/01/2023;651;;49.4;;;;;;;;
4;20/01/2023;651;;49.23;;;;;;;;
4;20/01/2023;651;;;;129.8;;;;;;
4;19/01/2023;651;;;;11.93;;;;;;
4;20/01/2023;651;;;;54.96;;;;;;
4;20/01/2023;651;;;;39.94;;;;;;
287;26/01/2023;;;;;74.8;;;;;;
293;03/02/2023;;150;;;;;;;;;
286;01/02/2023;;;;;17.6;;;;;;
293;15/02/2023;;;;;16.8;;;;;;
291;26/02/2023;;150;;;;;;;;;
287;27/01/2023;1;;;;;;;;;;3.11
287;26/01/2023;1;;;;;;;;;;4.3
287;26/01/2023;1;;;;;;;;;;3.3
291;26/02/2023;2;;;;;;;;;;12.94
287;17/02/2023;2;;;;;;;;;;15.2
293;01/03/2023;;150;;;;;;;;;
293;01/03/2023;;100;;;;;;;;;
300;27/02/2023;4;;;;;;159.49;;;;
300;28/02/2023;;;;;28;;;;;;
295;07/02/2023;;;;;260.8;;;;;;
298;24/01/2023;;;;;99.2;;;;;;
293;01/03/2023;;;;;16;;;;;;
287;15/03/2023;;100;;;;;;;;;
289;16/03/2023;;150;;;;;;;;;
289;16/03/2023;;100;;;;;;;;;
287;16/03/2023;;100;;;;;;;;;
289;17/03/2023;;150;;;;;;;;;
289;17/02/2023;;100;;;;;;;;;
287;17/03/2023;;100;;;;;;;;;
287;18/03/2023;;150;;;;;;;;;
287;18/03/2023;;100;;;;;;;;;
287;18/03/2023;;100;;;;;;;;;
287;18/03/2023;;100;;;;;;;;;
287;18/03/2023;;100;;;;;;;;;
289;15/02/2023;;;;;64;;;;;;
298;10/03/2023;;;;;62.8;;;;;;
289;16/03/2023;;;;;103.2;;;;;;
289;17/03/2023;;;;;108.8;;;;;;
287;18/03/2023;;;;;175.2;;;;;;
292;24/03/2023;;;;;60;;;;;;
293;22/03/2023;;;;;13.6;;;;;;
287;26/03/2023;;;;;5.6;;;;;;
283;24/03/2023;;;;;142.4;;;;;;
289;22/03/2023;;150;;;;;;;;;
289;22/03/2023;;100;;;;;;;;;
293;23/03/2023;;150;;;;;;;;;
293;23/03/2023;;100;;;;;;;;;
290;25/03/2023;;150;;;;;;;;;
290;25/03/2023;;100;;;;;;;;;
290;25/03/2023;;100;;;;;;;;;
287;26/03/2023;;150;;;;;;;;;
287;26/03/2023;;100;;;;;;;;;
287;26/03/2023;;100;;;;;;;;;
293;28/03/2023;;150;;;;;;;;;
293;28/03/2023;;100;;;;;;;;;
293;30/03/2023;;;;;20.8;;;;;;
289;22/03/2023;;;;;96.8;;;;;;
290;25/03/2023;;;;;257.6;;;;;;
287;26/03/2023;;;;;158.4;;;;;;
293;31/03/2023;;;;;10.4;;;;;;
293;23/03/2023;;;;;16.8;;;;;;
293;28/03/2023;;;;;23.2;;;;;;
293;29/03/2023;;;;;24;;;;;;
293;30/03/2023;;;;;24.8;;;;;;
293;31/03/2023;;;;;17.6;;;;;;
290;28/03/2023;2;;;;;;;;;;7.6
290;28/03/2023;5;;;;231.2;;;;;;
289;01/03/2023;NF 157.981;;;;;;979.97;;;;
290;24/03/2023;NF 001.081;;;;;;1129.01;;;;
293;29/03/2023;;150;;;;;;;;;
293;29/03/2023;;100;;;;;;;;;
293;30/03/2023;;150;;;;;;;;;
293;30/03/2023;;100;;;;;;;;;
293;31/03/2023;;150;;;;;;;;;
293;31/03/2023;;100;;;;;;;;;
293;31/03/2023;;100;;;;;;;;;
293;03/04/2023;;150;;;;;;;;;
293;03/04/2023;;100;;;;;;;;;
296;04/04/2023;;100;;;;;;;;;
293;04/04/2023;;150;;;;;;;;;
293;04/04/2023;;100;;;;;;;;;
283;30/03/2023;;;;;187.6;;;;;;
320;03/04/2023;;;;;27.8;;;;;;
